Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net migration,SM.POP.NETM,Aruba,ABW,1235,560,350,324,315,579,569,621,666,703,498,315,229,134,88,177,170,218,367,412,0,501,164,157
Net migration,SM.POP.NETM,Afghanistan,AFG,-1007135,-192286,1327074,388632,-248616,252185,62684,-942887,221000,-58881,-141355,418796,105905,48076,255611,-281739,-90238,-47090,-47205,-8082,166821,-183672,-65846,-65846
Net migration,SM.POP.NETM,Angola,AGO,53527,56959,60505,59438,66585,64009,70170,73940,73804,77265,90016,94709,96056,91528,84532,74170,91623,77733,61632,58986,7557,29089,-1000,-1000
Net migration,SM.POP.NETM,Albania,ALB,-63610,-62059,-59876,-57308,-54383,-50855,-47174,-43019,-38736,-34116,-29330,-24465,-19946,-16845,-14265,-12240,-10887,-9768,-9106,-8889,-9117,-10612,-8000,-8000
Net migration,SM.POP.NETM,Andorra,AND,146,2690,2690,2722,2744,2467,-2420,-2446,-2584,-2678,-2864,27,33,12,-84,-232,1303,887,1184,1238,1474,1377,200,200
Net migration,SM.POP.NETM,United Arab Emirates,ARE,131735,130241,128160,124550,122863,339380,781672,1037187,1040422,783241,-13726,-15738,-16401,-15566,-14954,-14154,-13520,-12895,-8582,-4466,-2762,-2762,0,0
Net migration,SM.POP.NETM,Argentina,ARG,-22770,-22787,-22668,-22353,-22336,-21961,-19958,-18051,-12450,-7869,-4970,-1011,3127,5369,5801,5522,5215,4926,4690,4478,2344,2344,3886,3718
Net migration,SM.POP.NETM,Armenia,ARM,-51873,-44486,-34971,-30238,-30623,-31023,-31302,-31530,-31822,-32000,-31991,-29214,-28731,-28257,-27763,-27283,-26804,-26326,-25835,-25363,-12825,-12825,-5000,-5000
Net migration,SM.POP.NETM,American Samoa,ASM,-1158,-1503,-1583,-1647,-1701,-1697,-1661,-1618,-1586,-1527,-1475,-1509,-1538,-1575,-1602,-1629,-1641,-1652,-1652,-1650,-1636,-1646,-810,-790
Net migration,SM.POP.NETM,Antigua and Barbuda,ATG,271,148,51,41,101,202,314,372,369,338,295,247,203,156,108,60,16,0,0,0,0,0,0,0
Net migration,SM.POP.NETM,Australia,AUS,109375,113907,107886,103907,109226,132109,192139,251231,278516,235881,166833,197748,235719,214564,198120,209466,242184,244875,220307,235860,117929,117929,139991,139991
Net migration,SM.POP.NETM,Austria,AUT,17531,39173,37429,44003,54907,50282,25420,23729,25499,17121,22786,31665,44891,56494,74263,115125,66282,45573,35404,41105,20314,20314,19999,19999
Net migration,SM.POP.NETM,Azerbaijan,AZE,15938,16248,15071,13154,13488,16436,16909,17111,15048,890,1384,1688,1988,2289,1084,1084,1484,1184,1583,392,1084,1084,0,0
Net migration,SM.POP.NETM,Burundi,BDI,-40114,9965,-16881,36721,47090,17913,15322,22120,79323,184361,11847,-19517,22613,-2295,-6856,-236447,-109490,-68450,68145,14241,-10186,-14415,2000,2000
Net migration,SM.POP.NETM,Belgium,BEL,32262,35439,38517,41479,43994,46280,48426,50352,51937,53385,54611,55511,56227,56755,57103,57008,56781,56248,55439,54395,53428,52356,23999,23999
Net migration,SM.POP.NETM,Benin,BEN,3337,3730,3568,4278,4173,30492,-15131,247,3192,4272,3947,4278,1267,-899,3667,3366,3827,3716,3368,3363,1732,1732,-200,-200
Net migration,SM.POP.NETM,Burkina Faso,BFA,3880,10651,16076,15362,17573,9794,-4220,-28226,-40782,-40215,-42128,-33455,-20961,-33275,-18009,-19754,-7603,-14801,-23971,-25277,-5665,-13097,-24998,-24998
Net migration,SM.POP.NETM,Bangladesh,BGD,-424718,-347605,-451611,-533925,-535175,-715970,-1146688,-923456,-1390782,-740788,-462265,-341152,-242022,-194048,-219628,-286512,-55013,-175755,-323380,-344054,-61154,-174500,-309977,-309977
Net migration,SM.POP.NETM,Bulgaria,BGR,-11295,-8623,-6134,-4527,-4156,-3832,-3980,-4748,-5674,-6997,-8686,-11262,-13770,-15243,-15527,-15356,-14947,-13560,-12115,-11439,-9902,-8716,-4800,-4800
Net migration,SM.POP.NETM,Bahrain,BHR,6264,5704,4197,28186,53424,53401,53765,54165,53870,52049,-17076,-20040,11754,27227,36320,29250,29052,29024,-3601,-17127,-48716,-9150,0,0
Net migration,SM.POP.NETM,"Bahamas, The",BHS,843,293,634,951,1031,800,1737,1728,1476,1617,1899,1384,1048,1001,1001,1001,1001,1001,1001,1001,0,485,1000,1000
Net migration,SM.POP.NETM,Bosnia and Herzegovina,BIH,8141,9058,-13313,-27396,-68032,-37107,-38642,-65367,-68177,-68227,-67267,-64918,-66436,-37030,-35709,-33976,-32195,-30669,-29154,-27848,-26857,-25865,-500,-500
Net migration,SM.POP.NETM,Belarus,BLR,-10419,-12414,-13520,-13488,-12943,-11902,-9732,-6448,-2728,2166,4892,7578,9425,10496,12222,13681,15258,15937,15731,15082,13589,12961,30308,-4282
Net migration,SM.POP.NETM,Belize,BLZ,1678,1912,1977,2199,2330,2397,2598,2707,2702,2694,1644,1583,1529,1504,1452,1363,1283,1222,1185,1164,0,577,600,600
Net migration,SM.POP.NETM,Bermuda,BMU,-67,-148,-127,-127,-191,-80,-182,-299,-181,-264,-216,-208,-243,-254,-233,-315,0,227,306,290,291,291,0,0
Net migration,SM.POP.NETM,Bolivia,BOL,-17675,-16536,-16253,-15499,-15173,-14657,-14110,-13667,-13417,-13056,-12592,-12107,-11688,-11371,-10972,-10525,-10071,-9669,-9345,-8978,-4666,-4666,-3000,-3000
Net migration,SM.POP.NETM,Brazil,BRA,-1761,3453,6018,-16908,-5390,-42926,-34007,-30331,-35373,-29357,16843,33631,43451,35308,24940,4764,82589,56362,67934,69186,56880,20376,6425,6000
Net migration,SM.POP.NETM,Barbados,BRB,-833,-103,-121,-145,-159,-172,-160,19,296,75,-36,-54,-64,-65,-65,-65,-65,-65,-65,-65,0,-28,-80,-80
